Average_Bitrate_Mbps,CDF
1.6,0.12966252220248667
1.60016,0.13143872113676733
1.6008,0.13321492007104796
1.6015,0.1349911190053286
1.60198,0.13676731793960922
1.60224,0.13854351687388988
1.60333,0.14031971580817051
1.60435,0.14209591474245115
1.60451,0.1438721136767318
1.60531,0.14564831261101244
1.60778,0.14742451154529307
1.60787,0.1492007104795737
1.60954,0.15097690941385436
1.60998,0.152753108348135
1.6105,0.15452930728241562
1.61056,0.15630550621669628
1.61178,0.15808170515097691
1.6136,0.15985790408525755
1.61443,0.16163410301953818
1.61562,0.16341030195381884
1.61686,0.16518650088809947
1.61802,0.1669626998223801
1.61942,0.16873889875666073
1.6215,0.1705150976909414
1.62205,0.17229129662522202
1.62211,0.17406749555950266
1.62218,0.17584369449378331
1.62294,0.17761989342806395
1.62432,0.17939609236234458
1.6249,0.1811722912966252
1.62506,0.18294849023090587
1.62771,0.1847246891651865
1.62864,0.18650088809946713
1.62886,0.1882770870337478
1.63034,0.19005328596802842
1.6312,0.19182948490230906
1.63187,0.1936056838365897
1.6321,0.19538188277087035
1.6321,0.19715808170515098
1.63238,0.1989342806394316
1.63264,0.20071047957371227
1.63347,0.2024866785079929
1.63482,0.20426287744227353
1.63494,0.20603907637655416
1.63552,0.20781527531083482
1.63661,0.20959147424511546
1.63779,0.2113676731793961
1.63872,0.21314387211367672
1.63981,0.21492007104795738
1.63987,0.216696269982238
1.64003,0.21847246891651864
1.64128,0.2202486678507993
1.64141,0.22202486678507993
1.64208,0.22380106571936056
1.64368,0.2255772646536412
1.64576,0.22735346358792186
1.64704,0.2291296625222025
1.64768,0.23090586145648312
1.64787,0.23268206039076378
1.64851,0.2344582593250444
1.64896,0.23623445825932504
1.64998,0.23801065719360567
1.65059,0.23978685612788633
1.65101,0.24156305506216696
1.65158,0.2433392539964476
1.65171,0.24511545293072823
1.6519,0.2468916518650089
1.6521,0.24866785079928952
1.65312,0.25044404973357015
1.65325,0.2522202486678508
1.65334,0.2539964476021314
1.65338,0.2557726465364121
1.65386,0.25754884547069273
1.65395,0.25932504440497334
1.65494,0.261101243339254
1.65651,0.26287744227353466
1.65654,0.26465364120781526
1.65731,0.2664298401420959
1.65786,0.2682060390763766
1.65946,0.2699822380106572
1.66253,0.27175843694493784
1.66282,0.27353463587921845
1.66307,0.2753108348134991
1.66365,0.27708703374777977
1.66374,0.27886323268206037
1.663855,0.28063943161634103
1.66387,0.2824156305506217
1.66394,0.2841918294849023
1.6641,0.28596802841918295
1.66435,0.2877442273534636
1.66554,0.2895204262877442
1.66698,0.2912966252220249
1.66762,0.29307282415630553
1.66861,0.29484902309058614
1.66947,0.2966252220248668
1.67072,0.2984014209591474
1.67078,0.30017761989342806
1.67232,0.3019538188277087
1.67267,0.3037300177619893
1.6729,0.30550621669627
1.67296,0.30728241563055064
1.67315,0.30905861456483125
1.67427,0.3108348134991119
1.67597,0.31261101243339257
1.67613,0.31438721136767317
1.67674,0.31616341030195383
1.67728,0.31793960923623443
1.67734,0.3197158081705151
1.67747,0.32149200710479575
1.67773,0.32326820603907636
1.68032,0.325044404973357
1.68058,0.3268206039076377
1.68083,0.3285968028419183
1.6809,0.33037300177619894
1.68288,0.3321492007104796
1.68298,0.3339253996447602
1.68314,0.33570159857904086
1.6841,0.33747779751332146
1.68435,0.3392539964476021
1.6847,0.3410301953818828
1.68544,0.3428063943161634
1.68563,0.34458259325044405
1.68586,0.3463587921847247
1.68611,0.3481349911190053
1.68614,0.34991119005328597
1.68717,0.35168738898756663
1.68848,0.35346358792184723
1.69091,0.3552397868561279
1.69222,0.35701598579040855
1.69222,0.35879218472468916
1.69248,0.3605683836589698
1.6935,0.3623445825932504
1.69398,0.3641207815275311
1.6953,0.36589698046181174
1.69568,0.36767317939609234
1.69594,0.369449378330373
1.69629,0.37122557726465366
1.69722,0.37300177619893427
1.69779,0.3747779751332149
1.69808,0.3765541740674956
1.69821,0.3783303730017762
1.69872,0.38010657193605685
1.69912,0.38188277087033745
1.69974,0.3836589698046181
1.7001,0.38543516873889877
1.70016,0.3872113676731794
1.70042,0.38898756660746003
1.70099,0.3907637655417407
1.70118,0.3925399644760213
1.70234,0.39431616341030196
1.70243,0.3960923623445826
1.70269,0.3978685612788632
1.70285,0.3996447602131439
1.70416,0.40142095914742454
1.70445,0.40319715808170514
